userName,conditionId,testId,titer,userResult
A1I72NHC21347A,0,1,0.75,1
A1I72NHC21347A,0,0,0.50,0
A1I72NHC21347A,0,2,0.65,0
A1I72NHC21347A,0,3,0.75,1
A1I72NHC21347A,0,4,0.65,0
A1I72NHC21347A,0,6,0.65,1
A1I72NHC21347A,0,5,0.75,1
A1I72NHC21347A,0,7,0.55,0
A1I72NHC21347A,0,8,0.75,1
A1I72NHC21347A,0,9,0.65,1
A1I72NHC21347A,0,10,0.55,1
A1I72NHC21347A,0,11,0.45,1
A1I72NHC21347A,0,12,0.35,0
A1I72NHC21347A,0,13,0.65,0
A1I72NHC21347A,0,14,0.75,1
A1I72NHC21347A,0,15,0.65,1
A1I72NHC21347A,0,16,0.55,1
A1I72NHC21347A,0,17,0.45,0
A1I72NHC21347A,0,18,0.75,0
A1I72NHC21347A,0,19,0.75,1
A1I72NHC21347A,1,0,0.50,0
A1I72NHC21347A,1,1,0.75,0
A1I72NHC21347A,1,2,0.75,1
A1I72NHC21347A,1,3,0.65,1
A1I72NHC21347A,1,4,0.55,0
A1I72NHC21347A,1,5,0.75,0
A1I72NHC21347A,1,6,0.75,1
A1I72NHC21347A,1,7,0.65,0
A1I72NHC21347A,1,8,0.75,1
A1I72NHC21347A,1,9,0.65,0
A1I72NHC21347A,1,10,0.75,0
A1I72NHC21347A,1,11,0.75,0
A1I72NHC21347A,1,12,0.75,0
A1I72NHC21347A,1,13,0.75,0
A1I72NHC21347A,1,14,0.75,0
A1I72NHC21347A,1,15,0.75,1
A1I72NHC21347A,1,16,0.65,1
A1I72NHC21347A,1,17,0.55,0
A1I72NHC21347A,1,18,0.75,1
A1I72NHC21347A,1,19,0.65,1
A1I72NHC21347A,2,0,0.50,1
A1I72NHC21347A,2,1,0.40,0
A1I72NHC21347A,2,2,0.70,0
A1I72NHC21347A,2,3,0.75,1
A1I72NHC21347A,2,4,0.65,1
A1I72NHC21347A,2,5,0.55,0
A1I72NHC21347A,2,6,0.75,1
A1I72NHC21347A,2,7,0.65,1
A1I72NHC21347A,2,8,0.55,1
A1I72NHC21347A,2,9,0.45,0
A1I72NHC21347A,2,10,0.75,1
A1I72NHC21347A,2,11,0.65,0
A1I72NHC21347A,2,12,0.75,1
A1I72NHC21347A,2,13,0.65,1
A1I72NHC21347A,2,14,0.55,1
A1I72NHC21347A,2,15,0.45,1
A1I72NHC21347A,2,16,0.35,1
A1I72NHC21347A,2,17,0.25,1
A1I72NHC21347A,2,18,0.15,0
A1I72NHC21347A,2,19,0.45,1
A1I72NHC21347A,3,0,0.50,1
A1I72NHC21347A,3,1,0.40,0
A1I72NHC21347A,3,2,0.70,1
A1I72NHC21347A,3,3,0.60,1
A1I72NHC21347A,3,4,0.50,1
A1I72NHC21347A,3,5,0.40,0
A1I72NHC21347A,3,6,0.70,1
A1I72NHC21347A,3,7,0.60,1
A1I72NHC21347A,3,8,0.50,1
A1I72NHC21347A,3,9,0.40,0
A1I72NHC21347A,3,10,0.70,1
A1I72NHC21347A,3,11,0.60,1
A1I72NHC21347A,3,12,0.50,1
A1I72NHC21347A,3,13,0.40,0
A1I72NHC21347A,3,14,0.70,1
A1I72NHC21347A,3,15,0.60,1
A1I72NHC21347A,3,16,0.50,1
A1I72NHC21347A,3,17,0.40,1
A1I72NHC21347A,3,18,0.30,1
A1I72NHC21347A,3,19,0.20,1
A1I72NHC21347A,4,0,0.50,0
A1I72NHC21347A,4,1,0.75,1
A1I72NHC21347A,4,2,0.65,0
A1I72NHC21347A,4,3,0.75,0
A1I72NHC21347A,4,4,0.75,1
A1I72NHC21347A,4,5,0.65,1
A1I72NHC21347A,4,6,0.55,1
A1I72NHC21347A,4,7,0.45,0
A1I72NHC21347A,4,8,0.75,0
A1I72NHC21347A,4,9,0.75,0
A1I72NHC21347A,4,10,0.75,0
A1I72NHC21347A,4,11,0.75,1
A1I72NHC21347A,4,12,0.65,1
A1I72NHC21347A,4,13,0.55,0
A1I72NHC21347A,4,14,0.75,1
A1I72NHC21347A,4,15,0.65,0
A1I72NHC21347A,4,16,0.75,1
A1I72NHC21347A,4,17,0.65,1
A1I72NHC21347A,4,18,0.55,0
A1I72NHC21347A,4,19,0.75,1
A1I72NHC21347A,5,0,0.50,1
A1I72NHC21347A,5,1,0.40,1
A1I72NHC21347A,5,2,0.30,1
A1I72NHC21347A,5,3,0.20,1
A1I72NHC21347A,5,4,0.10,0
A1I72NHC21347A,5,5,0.40,1
A1I72NHC21347A,5,6,0.30,1
A1I72NHC21347A,5,7,0.20,1
A1I72NHC21347A,5,8,0.10,1
A1I72NHC21347A,5,9,0.10,1
A1I72NHC21347A,5,10,0.10,1
A1I72NHC21347A,5,11,0.10,1
A1I72NHC21347A,5,12,0.10,1
A1I72NHC21347A,5,13,0.10,1
A1I72NHC21347A,5,14,0.10,1
A1I72NHC21347A,5,15,0.10,1
A1I72NHC21347A,5,16,0.10,1
A1I72NHC21347A,5,17,0.10,0
A1I72NHC21347A,5,18,0.40,1
A1I72NHC21347A,5,19,0.30,1
